x,y,z,A11,A12,A13,A21,A22,A23,A31,A32,A33
-0.0075,0.0075,0.015,-8.672058468414976,3.505863993230595,2.4968132261522573,-1.9512185476198844,3.509926094396598,-3.5978825355624107,2.0959376678591006,0.7820277273603919,0.18701108011115464
-0.0075,0.015,-0.015,-2.672075737935882,1.584865024779324,0.8736233182825154,-1.1131248454725757,1.2947226132368816,-1.6423190271445485,2.427501660251202,1.8094047380975293,0.707630050270613
-0.0075,0.015,-0.0075,-3.608104057706362,2.2386373486961997,1.056478713851422,-1.3959296829266963,1.820348312594665,-2.003366716232708,2.563749084316218,2.093090410254291,0.5805183462129666
-0.0075,0.015,0.0,-4.933031881078717,2.8736434550621706,1.2511587368658588,-2.0167052645701737,2.349204243897564,-2.2766862600743685,2.7641366985825604,2.1391527096930867,0.37940145647550116
-0.0075,0.015,0.0075,-6.422073643809839,3.9993621444670513,1.4054370165899852,-2.4892922637220725,3.1292748869385463,-2.6261635925382656,2.4611358849517218,2.0763078222889617,0.16628369892598624
-0.0075,0.015,0.015,-7.810342125391456,4.831506932615073,1.5221399622613387,-3.199179645281332,3.9512998309354272,-2.8826988860048037,1.6828909826783574,1.4664135546732542,-0.0927501987141588
0.0,-0.015,-0.015,-2.4509866376715586,0.5009806966049276,2.124656716651475,0.8410033758080981,1.2963526500512148,-2.17676329487164,1.6477829070258116,0.5737434705003347,3.4596876946682635
0.0,-0.015,-0.0075,-3.240377778895756,0.5981890174200837,3.060801421919413,1.117599775984305,1.5966838408454782,-3.214313892411858,1.670311349522658,0.49251827523238306,4.000603838947232
0.0,-0.015,0.0,-4.007507450819484,0.6931074743916475,4.10171688816801,1.4537180882163296,1.9342667697745934,-4.6123703028770615,1.542060164936061,0.3817253125820812,4.242831645279683
0.0,-0.015,0.0075,-5.030940711229816,0.7849029404683686,5.394449753919284,1.8706279740410767,2.2521073267707457,-6.227865516053095,1.2217679631534688,0.19845076211289814,4.37619657219182
0.0,-0.015,0.015,-5.974652871578376,0.7222118410249636,7.659997369991459,2.349996297893644,2.576588588576216,-8.508209714036443,0.6393364643118293,-0.036113679631310375,3.6217189654766253
0.0,-0.0075,-0.015,-2.587975910937163,0.6921439134870757,1.7205931735241715,0.4544179866154858,1.4326367322558655,-2.378735797481962,1.786882079223135,0.9080776847121593,2.616957120052256
